,國文,英文,數學,社會,自然
0,13,15,8,14,12
1,10,14,10,15,9
2,13,13,13,12,12
3,6,13,12,12,10
4,11,10,10,13,10
5,12,12,10,11,11
6,15,12,13,8,14
7,9,6,8,11,7
8,8,7,12,14,12
9,10,7,6,8,8
10,12,9,9,8,13
11,9,12,13,6,7
12,9,15,8,11,9
13,14,14,14,8,11
14,6,14,11,7,9
15,14,15,9,13,9
16,6,9,13,7,6
17,13,12,8,7,9
18,15,15,9,9,11
19,14,7,9,14,13
20,10,15,14,12,11
21,6,8,7,11,8
22,7,9,15,6,6
23,11,13,14,13,9
24,7,7,7,7,12
25,8,13,6,7,7
26,14,6,6,6,14
27,11,11,8,9,13
28,10,15,14,14,8
29,6,9,7,15,14
30,7,9,7,10,11
31,10,6,15,11,9
32,6,15,15,6,10
33,11,6,6,11,14
34,9,8,13,14,6
35,12,14,7,10,13
36,12,11,13,15,8
37,13,6,9,6,11
38,11,14,15,13,7
39,13,9,11,7,11
40,15,11,8,8,12
41,12,12,7,11,11
42,8,10,8,13,7
43,7,11,14,14,11
44,12,8,11,9,7
45,8,8,8,8,14
46,8,14,12,7,13
47,7,6,15,7,14
48,6,12,8,11,8
49,14,11,15,15,9
50,12,13,12,13,11
51,13,7,7,12,8
52,7,10,11,11,12
53,11,15,7,14,13
54,14,13,12,10,6
55,9,11,14,14,10
56,6,9,15,13,8
57,11,6,6,12,10
58,10,10,15,7,12
59,7,13,10,8,8
60,14,12,6,8,14
61,15,8,15,9,6
62,15,9,12,6,6
63,14,10,12,15,6
64,12,8,9,10,9
65,15,6,8,14,14
66,11,15,6,15,15
67,13,6,12,6,12
68,11,10,11,14,7
69,11,8,8,12,15
70,11,6,14,10,7
71,14,13,13,6,15
72,10,7,15,7,6
73,14,6,14,10,13
74,9,8,12,7,13
75,9,12,12,15,13
76,13,13,7,10,12
77,9,10,6,8,15
78,7,13,8,10,8
79,11,10,9,9,7
80,8,15,7,7,9
81,10,15,9,8,8
82,10,10,15,6,10
83,15,8,14,11,8
84,7,7,11,15,13
85,9,15,14,7,6
86,6,13,9,7,14
87,9,10,10,15,15
88,9,7,8,6,6
89,14,12,12,13,11
90,8,9,13,7,8
91,15,6,8,14,12
92,11,15,11,7,14
93,12,13,15,13,10
94,12,7,10,7,9
95,15,15,11,14,15
96,12,13,6,6,6
97,10,11,15,10,11
98,11,15,7,10,6
99,7,8,14,7,10
